Title,Year,Agency,Keywords
Do Homeowners Mark to Market? A Comparison of Self-Reported and Market-Based Home Value Estimates During the Housing Boom and Bust,2013,Baruch,market;value estimates;homeowners;based home;boom
School Accountability and Residential Location Patterns: Evaluating the Unintended Consequences of No Child Left Behind,2017,Baruch,unintended consequences;left;accountability residential;child;evaluating
Urban Pioneers: Why Do Higher Income Households Choose Lower Income Neighborhoods?,2011,Baruch,income;urban pioneers;pioneers higher;neighborhoods
Do Housing Choice Voucher Holders Live Near Good Schools?,2014,Baruch,voucher holders;schools;near good
Why Do Higher-Income Households Choose Low-Income Neighbourhoods? Pioneering or Thrift?,2013,Baruch,income;thrift
Do Homeowners Mark to Market? A Comparison of Self-reported and Estimated Market Home Values During the Housing Boom and Bust,2016,Baruch,market;values housing;homeowners mark;boom bust;comparison
Has Falling Crime Invited Gentrification?,2016,Baruch,invited gentrification;falling crime
Impacts of Policy-Induced Freight Modal Shifts,2019,Baruch,shifts;policy induced
Identifying Freight Intermediaries: Implications for Freight Trip Generation Modeling,2015,Baruch,freight;trip generation;modeling
Transferability of Freight Trip Generation Models,2013,Baruch,trip generation;transferability freight
Freight and Service Activity Generation Software,2017,Baruch,software;service activity
Use of Freight Production Functions to Identify Outliers in the Commodity Flow Survey Data,2017,Baruch,use freight;functions identify;commodity flow;data;flow survey
Large Urban Freight Traffic Generators: Opportunities for City Logistics Initiatives,2015,Baruch,urban freight;large;city logistics;freight traffic
"Freight Generation, Freight Trip Generation, and Perils of Using Constant Trip Rates",2011,Baruch,trip;generation;freight;using constant;rates
Estimated Generation of Freight Trips Based on Land Use,2012,Baruch,use;trips based;land
"Using Commodity Flow Survey Microdata and Other Establishment Data to Estimate the Generation of Freight, Freight Trips, and Service Trips: Guidebook",2016,Baruch,trips;freight;using commodity;commodity flow;data;establishment;estimate;flow survey
Freight Generation and Freight Trip Generation Models,2014,Baruch,generation;freight
Freight mode choice: Results from a nationwide qualitative and quantitative research effort,2021,Baruch,results nationwide;choice results;effort;freight
Freight and Service Parking Needs and the Role of Demand Management,2018,Baruch,service parking;role demand;parking needs
Innovative Freight Production Models Using the Commodity Flow Survey: Improving Accuracy and Timeliness for Planning with Available Data,2017,Baruch,using commodity;improving accuracy;accuracy timeliness;available;commodity flow;data;flow survey
Importance and Potential Applications of Freight and Service Activity Models,2018,Baruch,service activity;potential applications;models
Freight Trip Generation and Land Use,2012,Baruch,use;trip generation
Does Family Planning Increase Children's Opportunities? Evidence from the War on Poverty and the Early Years of Title X,2016,Michigan,years title;increase;children opportunities;does;early
"Imports, Heavy Goods, and Competition Away from the Coast",2016,Minnesota,imports heavy;heavy goods
"Import Competition, the Value of Time, and Intermediation in Trade",2016,Minnesota,value time;trade
Concording U.S. Harmonized System Categories Over Time,2012,Boston,time;harmonized categories
Winners and Losers in International Trade: The Effects on U.S. Presidential Voting,2017,Boston,winners losers;voting;trade effects
Concording U.S. Harmonized System Categories Over Time,2009,Boston,time;harmonized categories
Evaluating Estimates of Materials Offshoring from U.S. Manufacturing,2012,Boston,offshoring manufacturing;materials offshoring
"Uncertainty, Risk Aversion and International Trade",2018,Boston,uncertainty risk;trade
The Tradability of Services: Geographic Concentration and Trade Costs,2013,Boston,trade costs;tradability services
The Tradability of Services: Geographic Concentration and Trade Costs,2015,Boston,trade costs;tradability services
Product Quality and Firm Heterogeneity in International Trade,2015,Boston,trade;quality firm
Winners and Losers in International Trade: The Effects on U.S. Presidential Voting,2016,Boston,winners losers;voting;trade effects
Global Firms,2016,Boston,global firms
Product Quality and Firm Heterogeneity in International Trade,2013,Boston,trade;quality firm
Global Firms,2018,Boston,global firms
Concording U.S. Harmonized System Categories Over Time,2009,Boston,time;harmonized categories
"Global Trade in Services: Fear, Facts, and Offshoring",2011,Boston,trade services;services fear
Evaluating Estimates of Materials Offshoring from U.S. Manufacturing,2012,Boston,offshoring manufacturing;materials offshoring
The Surprisingly Swift Decline of U.S. Manufacturing Employment,2013,Boston,swift decline;surprisingly swift
The Surprisingly Swift Decline of U.S. Manufacturing Employment,2016,Boston,swift decline;surprisingly swift
"The Influences of Foreign Direct Investments, Intrafirm Trading, and Currency Undervaluation on U.S. Firm Trade Disputes",2014,Boston,undervaluation firm;influences;currency undervaluation;direct;disputes
The Empirics of Firm Heterogeneity and International Trade,2012,Boston,trade;international
The Tradability of Services: Geographic Concentration and Trade Costs,2014,Boston,trade costs;tradability services
The Influence of Firm Global Supply Chains and Foreign Currency Undervaluations on U.S. Trade Disputes,2015,Boston,undervaluations trade;foreign currency;chains foreign;currency undervaluations;disputes
The Surprisingly Swift Decline of U.S. Manufacturing Employment,2012,Boston,swift decline;surprisingly swift
A Concordance Between Ten-Digit U.S. Harmonized System Codes and SIC/NAICS Product Classes and Industries,2012,Boston,sic naics;digit harmonized
"Product Quality, Firm Heterogeneity and Trade Liberalization",2015,Boston,trade liberalization;quality firm
The Empirics of Firm Heterogeneity and International Trade,2012,Boston,trade;international
How Will the Affordable Care Act Change Employers' Incentives to Offer Insurance?,2014,Minnesota,offer insurance;incentives offer;employers incentives
Employers' Changing Economic Incentives to Offer Health Insurance under the Affordable Care Act,2016,Minnesota,offer health;economic incentives;affordable;care;changing
New Evidence on Employer Price-Sensitivity of Offering Health Insurance,2014,Minnesota,sensitivity offering;price sensitivity
How do Firms Grow in the U.S.? Evidence using a Novel Decomposition and Implications for Strategy Research,2020,Michigan,using novel;grow evidence;decomposition implications;evidence using
Three Essays on Energy Policy and Investment,2017,Michigan,policy investment;essays energy
The Effects of Occupational Licensing: Evidence from Business-Level Data,2018,Michigan,occupational licensing;licensing evidence
The Effects of Occupational Licensing Evidence from Detailed Business-Level Data,2017,Michigan,occupational licensing;licensing evidence
Essays on Firm Dynamics,2020,Michigan,firm dynamics;essays firm
Three Essays on Regulation and Entrepreneurship,2014,Michigan,regulation entrepreneurship;essays regulation
"Dynamic Inputs, Misallocation, and Policy: Evidence for Electricity-Intensive Manufacturing",2020,Michigan,policy evidence;misallocation policy
How Do Frictions That Impede Transfer of Business Ownership Affect Business Entry and Exit? Evidence from Product Line Exception Adoptions,2020,Michigan,business;transfer;affect;entry;evidence;exception;exit
Brighter Prospects? Assessing the Franchise Advantage using Census Data,2017,Michigan,using census;prospects assessing;franchise advantage
Why is Productivity Correlated with Competition?,2020,Michigan,productivity correlated;correlated competition
Brighter Prospects? Assessing the Franchise Advantage using Census Data,2019,Michigan,using census;prospects assessing;franchise advantage
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2016,Fed Board,work financial;spurs entrepreneurship;financial distress
When Does Higher Firm Leverage Lead to Higher Firm Pay?,2023,Fed Board,higher firm;pay;leverage lead
"Pay, Employment, and Dynamics of Young Firms",2019,Fed Board,young firms;pay employment
Going Entrepreneurial? IPOs and New Firm Creation,2017,Fed Board,new firm;ipos new
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2017,Fed Board,work financial;spurs entrepreneurship;financial distress
"Pay, Employment, and Dynamics of Young Firms",2019,Fed Board,young firms;pay employment
Entrepreneurial Wages,2018,Fed Board,wages;entrepreneurial
Entrepreneurial Spillovers from Corporate R&D,2018,Fed Board,spillovers corporate;entrepreneurial spillovers
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2020,Fed Board,work financial;spurs entrepreneurship;financial distress
"IPOs, Human Capital, and Labor Reallocation",2024,Fed Board,reallocation;labor
"Market Power, Finance Wages and Inequality",2019,Fed Board,wages inequality;power finance
Entrepreneurial Spillovers from Corporate R&D,2024,Fed Board,spillovers corporate;entrepreneurial spillovers
"IPOs, Human Capital, and Labor Reallocation",2023,Fed Board,reallocation;labor
"Firm Leverage, Labor Market Size, and Employee Pay",2017,Fed Board,size employee;pay;market size
Going Entrepreneurial? IPOs and New Firm Creation,2017,Fed Board,new firm;ipos new
"Firm Leverage, Labor Market Size, and Employee Pay",2018,Fed Board,size employee;pay;market size
Examining the Long-term Mortality Effects of Early Health Shocks,2019,Wisconsin,term mortality;shocks
Examining the Long Term Mortality Effects of Early Health Shocks,2014,Wisconsin,term mortality;shocks;mortality effects
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,2018,Wisconsin,pandemic old;exposure 1918;1918 influenza;age
